component,dim,range,scheme
http://gss-data.org.uk/data/gss_data/trade/hmrc-rts-small-area/component/sitc4,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/sitc-4
http://gss-data.org.uk/data/gss_data/trade/hmrc_trade/component/hmrc_industry,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/hmrc-industry-groups
http://gss-data.org.uk/data/gss_data/trade/ons-international-exports-of-services-from-subnational-areas-of-the-uk/component/product,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/product
http://gss-data.org.uk/data/gss_data/trade/ons-international-exports-of-services-from-subnational-areas-of-the-uk/observationsNUTS/component/product,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/product
http://gss-data.org.uk/data/gss_data/trade/ons-international-trade-in-services/component/itis_service,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/itis-services
http://gss-data.org.uk/data/gss_data/trade/ons-reuk-service/component/ons_func_category,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/ons-functional-category
http://gss-data.org.uk/data/gss_data/trade/ons-trade-in-goods/component/cord_sitc,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/cord-sitc
http://gss-data.org.uk/data/gss_data/trade/ons-uk-total-trade/component/ons_abs_trades,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/ons-abs-trades
http://gss-data.org.uk/data/gss_data/trade/ons-uk-trade-in-goods-by-industry-country-and-commodity/component/cord_sitc,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/cord-sitc
http://gss-data.org.uk/data/gss_data/trade/ons-uk-trade-in-goods-cpa-08/component/product,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/product
http://gss-data.org.uk/data/gss_data/trade/ons-uk-trade-in-services/component/pink_book_services,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/pink-book-services
http://gss-data.org.uk/data/gss_data/trade/ons_abs/component/ons_abs_trades,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/ons-abs-trades
http://gss-data.org.uk/data/gss_data/trade/ons_bop/component/bop_services,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/bop-services
http://gss-data.org.uk/data/gss_data/trade/ons_cpa/component/cpa2008,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://stamina-project.org/codes/cpav2008/cpa
http://gss-data.org.uk/data/ons-pink-book-chapter-3/component/pink_book_services,http://gss-data.org.uk/def/dimension/product,http://gss-data.org.uk/def/Product,http://gss-data.org.uk/def/concept-scheme/pink-book-services
http://gss-data.org.uk/data/gss_data/trade/hmrc-rts-small-area/component/nuts_geography,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/TradeReporterGeography,http://gss-data.org.uk/def/concept-scheme/nuts-geography
http://gss-data.org.uk/data/gss_data/trade/ons-international-exports-of-services-from-subnational-areas-of-the-uk/observationsNUTS/component/nuts_geography,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/TradeReporterGeography,http://gss-data.org.uk/def/concept-scheme/nuts-geography
http://gss-data.org.uk/data/gss_data/trade/ons-reuk-service/component/nuts_geography,http://gss-data.org.uk/def/dimension/trade-reporter-geography,http://gss-data.org.uk/def/TradeReporterGeography,http://gss-data.org.uk/def/concept-scheme/nuts-geography
