g,slug_segment,count
http://gss-data.org.uk/graph/gss_data/health/hmrc_alcohol_bulletin,day/,544
http://gss-data.org.uk/graph/gss_data/health/hmrc_alcohol_bulletin,gregorian-interval/,749
http://gss-data.org.uk/graph/gss_data/health/hmrc_alcohol_bulletin,month/,8436
http://gss-data.org.uk/graph/gss_data/health/hmrc_alcohol_bulletin,year/,713
http://gss-data.org.uk/graph/gss_data/trade/hmrc-rts-small-area,year/,21530
http://gss-data.org.uk/graph/gss_data/trade/hmrc_rts,quarter/,4063306
http://gss-data.org.uk/graph/gss_data/trade/hmrc_trade,year/,802
http://gss-data.org.uk/graph/gss_data/trade/ons-fdi,year/,20400
http://gss-data.org.uk/graph/gss_data/trade/ons-international-trade-in-services,year/,19989
http://gss-data.org.uk/graph/gss_data/trade/ons-reuk-service,year/,1064
http://gss-data.org.uk/graph/gss_data/trade/ons-trade-in-goods,month/,14800103
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-sa-trade-in-goods,month/,124872
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-sa-trade-in-goods,year/,10406
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-total-trade,quarter/,21690
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-total-trade,year/,28920
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-trade-in-goods-by-industry-country-and-commodity,year/,483700
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-trade-in-services,quarter/,107341
http://gss-data.org.uk/graph/gss_data/trade/ons-uk-trade-in-services,year/,21915
http://gss-data.org.uk/graph/gss_data/trade/ons_abs,year/,2028
http://gss-data.org.uk/graph/gss_data/trade/ons_bop,quarter/,333
http://gss-data.org.uk/graph/gss_data/trade/ons_bop,year/,74
http://gss-data.org.uk/graph/gss_data/trade/ons_cpa,quarter/,389025
http://gss-data.org.uk/graph/gss_data/trade/ons_cpa,year/,94050
http://gss-data.org.uk/graph/gss_data/trade/ons_mrets,month/,292320
http://gss-data.org.uk/graph/gss_data/trade/ons_mrets,quarter/,98644
http://gss-data.org.uk/graph/gss_data/trade/ons_mrets,year/,24710
http://gss-data.org.uk/graph/instance-data,open-government-licence,1
http://gss-data.org.uk/graph/ons-bop-individual-country-data,month/,74038
http://gss-data.org.uk/graph/ons-bop-individual-country-data,year/,6982
http://gss-data.org.uk/graph/ons-pink-book-chapter-3,year/,5398
http://gss-data.org.uk/graph/vocab/reference-times,day/,73
http://gss-data.org.uk/graph/vocab/reference-times,government-year/,17
http://gss-data.org.uk/graph/vocab/reference-times,gregorian-instant/,2700
http://gss-data.org.uk/graph/vocab/reference-times,gregorian-interval/,325
http://gss-data.org.uk/graph/vocab/reference-times,month/,269
http://gss-data.org.uk/graph/vocab/reference-times,quarter/,259
http://gss-data.org.uk/graph/vocab/reference-times,year/,62
http://gss-data.org.uk/graph/vocab/statistical-geography,day/,904
